latitude,longitude,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200,latitude_ap,longitude_ap,id_p
41.5234,-87.47308000000001,2552,1441,812,556,41.522809,-87.465417,2_22
41.522652,-87.46246,1383,186,102,18,41.523127,-87.401479,22_160
41.521681,-87.38928200000001,545,330,173,116,41.522727,-87.39038099999999,162_186
41.523063,-87.46895699999999,2026,277,102,41,41.52363999999999,-87.47704,72_64
41.521935000000006,-87.394083,2607,1509,1151,302,41.525755,-87.397482,68_22
41.522943,-87.499095,2769,154,71,27,41.522668,-87.463507,72_68
41.510947,-87.561458,2026,200,97,29,41.485824,-88.02401599999999,22_64
41.521911,-87.549925,2769,154,71,27,41.522671,-87.508972,72_68
41.522967,-87.456014,2026,370,129,35,41.522809,-87.50488,68_64
41.47870700000001,-88.06023499999999,2177,521,403,256,41.478917,-88.059195,92_120
41.523473,-87.474874,2310,181,86,39,41.52555099999999,-87.40293700000001,72_104
41.524629,-87.42489900000001,3611,2773,709,59,41.525387,-87.418068,65_99
41.48598,-88.045118,2020,963,507,87,41.485946000000006,-88.027484,45_112
41.525758,-87.400075,2201,296,180,42,41.524436,-87.436344,71_124
41.511266,-87.561023,2026,277,102,41,41.482142,-88.054789,72_64
41.523268,-87.493765,2531,168,88,34,41.510984,-87.561438,89_25
41.521537,-87.40954599999999,685,408,272,201,41.520081,-87.402897,191_169
41.522686,-87.50810600000001,2489,187,71,30,41.521866,-87.53379000000001,70_35
41.515788,-87.55641299999999,2210,587,539,356,41.485062,-88.04823700000001,10_91
41.504889000000006,-87.591476,3644,522,370,282,41.521807,-87.532576,35_1
41.523036000000005,-87.46961900000001,2201,296,180,42,41.523318,-87.472438,124_71
41.522747,-87.45730900000001,1826,134,64,26,41.521786,-87.38871499999999,27_98
41.517575,-87.393099,2257,436,345,92,41.521691,-87.391326,123_17
41.522484000000006,-87.54861500000001,2822,529,274,102,41.508456,-87.565438,6_8
41.52313100000001,-87.444013,863,471,355,66,41.521499000000006,-87.409683,73_130
41.497509,-88.03367700000001,777,777,777,777,41.497509,-88.03367700000001,174_86
41.521799,-87.393351,2034,372,198,95,41.533164,-87.472776,84_124
41.485961,-88.028721,2198,425,67,25,41.48445,-88.046415,116_45
41.523039,-87.448938,2889,1999,581,206,41.522768,-87.45871100000001,112_73
41.524169,-87.483036,803,220,163,40,41.521822,-87.409409,1_198
41.52564,-87.402362,2116,486,445,360,41.525583,-87.40322599999999,60_10
41.522022,-87.52849,2201,293,71,27,41.522870000000005,-87.457714,71_112
41.525763,-87.394162,2007,230,64,28,41.518286,-87.39053700000001,37_31
41.484551,-88.0548,2358,238,197,89,41.485737,-88.021428,54_30
41.523108,-87.445466,2607,1509,1151,302,41.522679,-87.459213,68_22
41.506755000000005,-87.57863400000001,3611,2773,709,59,41.507443,-87.56724700000001,65_99
41.525397000000005,-87.414159,2643,915,740,192,41.524487,-87.394096,116_22
41.522102,-87.54912200000001,3644,522,370,282,41.517443,-87.390543,35_1
41.521791,-87.532386,1826,134,64,26,41.522665,-87.517988,27_98
41.503822,-87.38809300000001,739,242,164,38,41.524558,-87.42562900000001,181_6
41.524228,-87.489263,2142,970,366,117,41.523059,-87.448939,71_62
41.522096000000005,-87.549554,2026,277,102,41,41.506877,-87.570252,72_64
41.485314,-88.045354,2161,176,92,37,41.475257,-88.066683,112_63
41.507014,-87.568645,2643,794,101,28,41.486108,-88.04242,72_22
41.484327,-88.05481,2204,334,143,91,41.477173,-88.06609,83_4
41.51522,-87.556911,3611,2773,709,59,41.517843,-87.554645,65_99
41.483553,-88.03026700000001,3644,522,370,282,41.484739,-88.045777,35_1
41.500277,-88.006289,2198,425,67,25,41.504276,-87.59357700000001,116_45
41.52247500000001,-87.39412,2643,915,740,192,41.52546099999999,-87.41227,22_117
41.522786,-87.51544299999999,2501,331,90,28,41.52306,-87.448863,113_117
41.522747,-87.4649,2142,970,366,117,41.525064,-87.421584,71_62
41.525152,-87.394141,1062,738,431,146,41.521647,-87.396839,112_160
41.522839000000005,-87.502463,2643,794,101,28,41.524082,-87.480965,72_22
41.486111,-88.030882,2116,486,445,360,41.522274,-87.535474,60_10
41.51879,-87.390553,2204,334,143,91,41.524242,-87.43504999999999,83_4
41.523919,-87.480638,1826,403,342,239,41.525388,-87.395303,48_98
41.506735,-87.582168,2198,425,67,25,41.520803,-87.551898,116_45
41.501884,-88.000261,2643,915,740,192,41.519588000000006,-87.553208,22_117
41.524556,-87.42886200000001,2026,370,129,35,41.52443,-87.43713799999999,68_64
41.492694,-88.01574500000001,3644,522,370,282,41.51518,-87.556868,35_1
41.500987,-88.003514,2201,296,180,42,41.533208,-87.47660599999999,71_124
41.523632,-87.476972,2643,915,740,192,41.522816000000006,-87.50295200000001,116_22
41.52438600000001,-87.48528,1826,403,342,239,41.525273,-87.404106,48_98
41.523097,-87.46985199999999,2116,486,445,360,41.523613,-87.442317,60_10
41.485772,-88.02575399999999,2250,496,67,26,41.493426,-88.01440199999999,9_67
41.521419,-87.40225099999999,1044,433,319,102,41.524382,-87.43784600000001,206_2
41.492559,-88.014851,1753,199,73,28,41.521471,-87.410204,59_11
41.523033,-87.45063599999999,2982,231,68,29,41.523596,-87.476383,123_72
41.523079,-87.498239,2531,168,88,34,41.522664000000006,-87.459316,25_89
41.524189,-87.440943,2769,154,71,27,41.525451,-87.41614799999999,72_68
41.506685,-87.582093,2042,430,302,279,41.478013,-88.063878,10_55
41.521756,-87.391244,2607,1509,1151,302,41.525368,-87.394193,68_22
41.524585,-87.425143,2531,168,88,34,41.524538,-87.39405699999999,89_25
41.522615,-87.461137,2432,461,385,314,41.510654,-87.56198,117_25
41.521667,-87.39390499999999,2042,908,330,61,41.523071,-87.445794,55_58
41.522176,-87.52758,2280,174,83,32,41.52264,-87.45964099999999,17_116
41.521701,-87.39047699999999,2204,334,143,91,41.522525,-87.459303,83_4
41.522879,-87.46679400000001,2607,1509,1151,302,41.52419,-87.481952,68_22
41.524322000000005,-87.483126,1383,304,216,79,41.521353,-87.409581,68_160
41.525404,-87.418925,1383,304,216,79,41.521796,-87.38934499999999,68_160
41.484877,-88.04713100000001,2769,2559,1471,909,41.486219,-88.036461,68_123
41.52362,-87.442181,2280,659,292,168,41.523292,-87.47229300000001,17_113
41.523412,-87.491712,2026,277,102,41,41.522623,-87.51311600000001,72_64
41.524068,-87.54043600000001,2250,124,61,24,41.522531,-87.512586,35_9
41.483396,-88.030191,940,287,116,43,41.483077,-88.027337,35_61
41.525442000000005,-87.415785,2531,168,88,34,41.520163,-87.390612,89_25
41.480119,-88.054604,2982,231,68,29,41.486035,-88.02967699999999,123_72
41.507137,-87.568135,3611,2773,709,59,41.509774,-87.56332700000002,65_99
41.47658499999999,-88.066052,2501,331,90,28,41.513449,-87.558512,113_117
41.523116,-87.470211,2432,461,385,314,41.505626,-87.589814,117_25
41.51316799999999,-87.55865299999999,2265,524,353,220,41.524071000000006,-87.480828,17_22
41.479753,-88.05473900000001,2161,176,92,37,41.494763000000006,-88.01389800000001,63_112
41.524325,-87.54246499999999,2531,168,88,34,41.523597,-87.47690899999999,25_89
41.521582,-87.397219,605,605,605,201,41.521686,-87.392338,188_164
41.52254,-87.523619,2210,587,539,356,41.487935,-88.017349,10_91
41.523437,-87.474604,2769,2559,1471,909,41.52354,-87.475821,68_123
41.523105,-87.44527,2201,293,71,27,41.524534,-87.427165,71_112
41.522588,-87.51287,2161,176,92,37,41.509106,-87.56449500000001,112_63
41.52315899999999,-87.394106,1880,79,34,13,41.524628,-87.42312,118_24
41.525065000000005,-87.42159799999999,2531,168,88,34,41.522338,-87.394123,89_25
41.523529,-87.476087,2020,963,507,87,41.524388,-87.484123,45_112
41.524519,-87.430613,2643,794,101,28,41.525081,-87.42189,72_22
41.52517,-87.390549,2489,187,71,30,41.52258,-87.510805,70_35
41.521928,-87.40139300000001,863,471,355,66,41.525394,-87.416282,130_73
41.524723,-87.42387000000001,2026,277,102,41,41.519977,-87.390597,72_64
41.485837,-88.02583399999999,2201,296,180,42,41.527846,-87.476713,71_124
41.524447,-87.484831,2531,168,88,34,41.516331,-87.55593800000001,89_25
41.517783,-87.554707,2026,277,102,41,41.485962,-88.02703299999999,72_64
