id,s_id,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200
1,35,3644,522,370,282
1,74,2831,574,174,46
1,198,803,220,163,40
2,17,2280,765,509,356
2,22,2552,1441,812,556
2,33,2619,1165,868,366
2,64,2026,317,124,45
2,68,2516,319,279,21
2,72,2619,860,259,25
2,116,2619,692,326,45
2,117,2619,692,326,45
2,126,518,438,267,126
2,135,720,212,117,19
2,206,1044,433,319,102
3,162,545,427,179,64
3,186,1103,367,317,41
4,5,2721,342,122,47
4,18,2626,545,494,332
4,83,2204,334,143,91
4,134,608,545,201,21
5,4,2721,342,122,47
5,134,716,318,276,14
5,146,467,360,160,14
6,8,2822,529,274,102
6,181,739,242,164,38
8,6,2822,529,274,102
8,14,2822,680,364,34
8,69,695,513,381,236
9,35,2250,124,61,24
9,67,2250,496,67,26
10,55,2042,430,302,279
10,60,2116,486,445,360
10,84,2059,204,89,36
10,91,2210,587,539,356
11,20,671,671,460,131
11,59,1753,199,73,28
11,83,2078,203,167,131
11,121,2451,253,204,130
11,132,605,605,440,31
11,136,1899,1899,1330,568
11,159,605,435,164,53
11,203,809,666,475,375
11,207,751,751,595,191
12,92,1026,393,335,32
13,107,297,297,297,63
14,8,2822,680,364,34
14,106,3149,516,290,57
14,181,697,289,188,22
16,39,474,382,202,158
16,73,541,384,142,26
17,2,2280,765,509,356
17,22,2265,524,353,220
17,33,2280,557,199,42
17,64,2020,504,157,62
17,68,2229,435,370,108
17,72,2280,232,120,42
17,89,2280,974,699,163
17,113,2280,659,292,168
17,116,2280,174,83,32
17,117,2280,174,83,32
17,123,2257,436,345,92
17,126,466,346,228,75
17,135,720,281,139,49
17,160,1383,273,146,44
17,206,992,434,304,59
18,4,2626,545,494,332
18,83,2292,496,319,110
18,134,513,435,203,52
19,23,1112,434,205,51
19,26,998,318,214,30
19,51,1214,273,189,69
19,138,884,489,294,89
19,189,751,751,751,413
20,11,671,671,460,131
20,101,671,365,196,65
20,132,551,551,506,143
20,136,671,671,178,70
20,154,539,534,157,43
21,73,425,362,194,53
21,112,428,388,188,68
22,2,2552,1441,812,556
22,17,2265,524,353,220
22,64,2026,200,97,29
22,68,2607,1509,1151,302
22,72,2643,794,101,28
22,116,2643,915,740,192
22,117,2643,915,740,192
22,126,451,335,191,119
22,160,1383,186,102,18
22,206,977,319,220,94
23,19,1112,434,205,51
23,138,782,202,161,90
24,42,2185,107,53,22
24,118,1880,79,34,13
25,72,2485,534,420,329
25,89,2531,168,88,34
25,116,2432,461,385,314
25,117,2432,461,385,314
26,19,998,318,214,30
27,30,2710,1330,880,578
27,35,3247,1763,1420,980
27,48,2899,1941,1829,1188
27,54,2358,238,198,63
27,70,2401,806,419,243
27,75,2638,571,67,26
27,79,2359,1000,137,34
27,98,1826,134,64,26
27,108,1758,284,245,106
27,119,2227,591,74,29
27,136,1171,341,84,32
28,35,2575,129,66,25
29,39,2164,439,275,205
29,45,2198,276,96,33
29,55,2042,1283,1095,283
29,58,2529,1485,689,381
